	kor	eng
436	황소바람이 들어오니 문을 닫아로!	A strong draft is coming in. Close the door.
437	꺼져 버려!	Get out!
438	시작이 반이다.	Starting is half the task.
439	시작이 반이다.	Starting is half the battle.
440	결과가 좋으면 모든 것이 좋다.	All's well that ends well.
441	"만약 당신에게 이 책이 없다면	 그것을 사면 됩니다."	"If you do not have this book	 you can buy it."
442	비가 오니까 우산을 가지고 오세요.	"It's raining	 so please bring your umbrella."
443	소년은 돌을 던졌습니다.	The boy throws a stone.
444	난 히브리어를 공부하기 원한다.	I want to study Hebrew.
445	그의 새로운 소설은 읽을만한 가치가 있다.	His new novel is worth reading.
446	간밤에 잘 잤으므로 오늘 아침 기분이 좋다.	"Having slept well last night	 I feel very fine this morning."
447	그날 밤 그는 무시무시한 꿈을 꾸었다.	That night he dreamed a horrible dream.
448	부르즈 할리파는 현재 세계에서 가장 높은 고층건물이다.	Burj Khalifa is currently the tallest skyscraper in the world.
449	부르즈 할리파는 현재 세계에서 가장 높은 고층건물이다.	Burj Khalifa is currently the tallest building in the world.
450	뭐든 잘 이해안되는게 생기면 나한테 와.	"If anything comes up that you don't understand	 come to me."
451	네가 한 일은 기대에 못 미쳤어.	Your work didn't come up to our expectations.
452	나는 질문을 좋아하지 않는 학생을 좋아하는 선생님을 좋아하지 않아.	I don't like teachers who like students who don't like asking questions.
453	"감사합니다. ""천만에요."""	"Thank you. ""You're welcome."""
454	감사합니다!	Thank you!
455	이 투명한 액체는 독 성분을 포함하고 있다.	This transparent liquid contains a kind of poison.
456	이 투명한 액체는 독을 포함하고 있다.	This transparent liquid contains poison.
457	물은 투명하다.	Water is transparent.
458	투명한 폴더 가지고 있나요?	Do you have a transparent folder?
459	솔직하고 투명한 정보와 대화가 상호 신뢰의 기초이다.	"Candidness and transparency	 information and communication are the basis of mutual trust."
460	한 단어는 수정처럼 투명한 변하지 않는게 아니라 의미의 한 표현일 뿐이며 사용되는 상황과 시간에 따라서 매우 다양하게 변화 될수 있다.	"A word is not a crystal	 transparent and unchanging	 it is the skin of a living thought and may vary greatly in colour and content according to the circumstances and time in which it is used."
461	그 금발 소녀는 정말 멋진 가슴 골을 가지고 있다.	The blonde girl has a really nice cleavage.
462	"나는 남과 다르게 멋있게 보이고 싶어서 하와이안 티셔츠와 녹색 반바지 입는 걸 좋아했지만	 빠르게 흰색 셔츠와 검정 바지에 익숙해졌다."	"I preferred wearing my Hawaiian T-shirt and green shorts to be cool and different	 but I quickly got used to the white shirt and black slacks."
463	우리는 오랜 시간을 열심히 일한 후에는 게을러 지려는 경향이 있다.	We tend to slack off after many hours of hard work.
464	그 사람의 바지는 많이 주름져 있다.	His slacks are all wrinkled.
465	그는 게으름 때문에 직장에서 짤렸다.	He got the sack for slacking off at work.
466	중요한 건 누구도 맡겨진 일에서 게으름을 피울수 있게 허락되지 않았다는 것이다.	It is important that no one is allowed to slack off on their assigned work.
467	그는 처음 헬스클럽에 갔을때는 정말 열심이었지만 몇 달이 지난후 게으름을 피우기 시작했고 결국 관두고 말았다.	He was really gung-ho when he started at the gym but after a few months he started slacking off and then stopped coming altogether.
468	마지막으로 그를 봤을때 그는 파란 셔츠에 흰색 바지를 입고 있었다.	"When I last saw him	 he was wearing a blue shirt and white slacks."
469	"너무 다그치지말고 여유를 좀 줘봐	 오늘이 처음 일하는 날이잖아."	"Cut him some slack	 John. It's his first day on the job."
470	탐에게 여유를 좀 주자.	Let's cut Tom some slack.
471	탐은 메리에게 아무런 기회도 주지 않았다.	Tom didn't cut Mary any slack.
472	"나의 사촌이 아직 어려서	 그들은 그에게 좀 더 기회를 줬다."	"Because my nephew was still young	 they cut him some slack."
473	나 좀 내버려 둬.	Cut me some slack.
474	그는 게으름 때문에 회사에서 짤렸다.	He got fired for slacking off at work.
475	보기보다 어렵지는 않을 거야.	Maybe it's not as hard as it looks.
476	우리 한동안 못 봤지!	We haven't seen you in a while.
477	경기가 드디어 좋아지기 시작한다.	Business is at last beginning to pick up.
478	아이들은 들어올 수 없습니다.	Children are not allowed in.
479	이 씨디들은 내 꺼야.	Those are my CDs.
480	켄이에요. 그는 정말 그의 개를 좋아해요.	This is Ken. He loves his dog.
481	걔하고 나는 사촌이야.	Him and me are cousins.
482	그건 농담이었어.	It was a joke.
483	그 여자는 오빠가 다섯명 있어.	She has five older brothers.
484	그들은 조각 흉내를 내고 있다.	They have taken the form of sculptures.
485	나는 세부 사항들까지 수정했다.	I corrected even the smallest details.
486	검도와 거합도는 뭐가 다르죠?	What is the difference between Iaido and Kendo?
487	이것 참 믿을수 없는 놈이네.	What a dishonest fellow!
488	일본의 날씨는 영국보다 따듯하다.	The climate of Japan is milder than that of England.
489	일본의 날씨는 영국보다 따듯하다.	The weather of Japan is hotter than England's.
490	포르투갈은 이웃이 하나 있고 그건 스페인이다.	Portugal has only one neighbor and it's Spain.
491	영국은 브리즈 힐을 함락시켰다.	The British captured Breed's Hill.
492	나는 그녀를 기다리고 있어요.	I'm waiting for her to come here.
493	나는 그 여자의 제안을 거절해야만 했어.	I had to refuse her offer.
494	5814를 반올림한 가장 가까운 천 단위 숫자가 뭐지?	What is 5814 rounded to the nearest thousand?
495	나는 너의 가장 친한 친구도 가장 나쁜 적도 될 수 있어.	I can be your best friend or your worst enemy.
496	그 여자는 자기 아들을 자랑스럽게 생각했다.	She prides herself on her son.
497	그 여자는 자기의 불행을 만나는 사람 모두에게 말한다.	She tells her tale of misery to everyone she meets.
498	너는 우리 가족에게 정말 큰 도움이 되고 있어.	You've been a great help to our family.
499	탐을 메리를 위해서 설거지를 했다.	Tom did the dishes for Mary.
500	저 남자 아이가 저기에 얼마나 오래 앉아 있었는지 얘기 좀 해줘.	Tell me how long that boy has been sitting there.
501	게임 팩을 게임기에 꽂았을 때 게임 팩의 금속 단자가 더러우면 게임이 잘 시작되지 않을수도 있다.	If the metal plate terminal of the game cassette is dirty it may be difficult for the game to start when the cassette is inserted into the game console.
502	그 사람은 음악에 대한 재능이 있다.	He has something of the musician in him.
503	나는 다음주에 시카고로 갈거야.	I'm leaving for Chicago next week.
504	나는 자전거와 하드 락 콘서트를 좋아해.	I love biking and hard rock concerts.
505	그 남자는 자가용이 있다.	He has his own car.
506	문 좀 잠궈주세요.	Please lock the door.
507	벌써 우리가 만난 지 4년 이에요. 시간이 참 빠른 것 같아요.	It's already been 4 years since we met. How time flies.
508	탐은 메리에게 줄 선물을 골랐다.	Tom picked out a gift for Mary.
509	탐은 우리에게 의견을 물어 보지 않았다.	Tom didn't ask for our opinions.
510	그 아이의 자유 시간이 제한된다.	That child's free time is circumscribed.
511	그에 관한 모든 것이 잿빛이었다.	Everything about him was grey.
512	이 에디션은 7000 카피 한정판이다.	This edition is limited to seven thousand copies.
513	그는 우리 앞에서 선물을 공개할꺼야.	He'll present the present in our presence.
514	메리는 탐과 콘치타가 손잡고 있는 걸 보았다.	Mary saw Tom and Conchita holding hands.
515	다른 사람을 귀찮게 할 수 있다.	The others can't be bothered.
516	그는 모든 메시지를 외워야 했다.	He had to commit the whole message to memory.
517	나타샤는 러시아 이름이다.	Natasha is a Russian name.
518	이래라 저래라 하지 마세요.	Do not tell me what to do.
519	저에게 해당되는 할인 티켓은 없나요?	Are there any discount tickets for me?
520	나는 우리팀이 우승했다는 소식을 들었다.	I heard the news that our team had won.
521	나는 릭을 그가 뉴질랜드로 돌아간 뒤에는 못 봤어.	I haven't seen Rick since he returned from New Zealand.
522	그 사람은 동작이 빨라요.	He acts quickly.
523	그 아이는 장난이 심하다.	That child is full of mischief.
524	탁자 위에 놓고 온 것 같아.	Maybe I left it on the table.
525	벽에 걸려있는 그림을 좀 봐.	Look at the picture on the wall.
526	그 사람은 거기서 휴가를 보냈다.	He stayed there during the vacation.
527	그 남자에게 사실대로 말해.	I urge you to tell him the truth.
528	내 생각에는 이게 가장 좋은 방법 같아.	I think it's the best way.
529	나는 저녁을 준비했다.	I made supper.
530	이 문장은 괜찮은데.	This sentence is fine.
531	많은 서양 작곡가들에게 유감스럽게도 스틸 드럼과 스틸 팬 드럼은 완벽한 반음계가 아니다.	"To the chagrin of many Western composers	 steel drums	 or steelpans	 tend not to be fully chromatic."
532	난 마실꺼리를 준비할께.	I'll fix a drink.
533	그녀는 그녀의 수입으로는 생활을 꾸릴 수가 없었다.	She could not make both ends meet on her income.
534	티켓은 각각 20엔 입니다.	The tickets are 20 yen each.
535	나는 집에서 뛰쳐나갔다.	I rushed out of my house.
536	탐은 메리가 어디에 있었는지 알고 싶었다.	Tom wanted to know where Mary had been.
537	그녀는 스무 살에 선생님이 되었다.	She became a teacher when she was twenty.
538	우리 중 아무도 그 사람의 의견에 반대하지 않는다.	None of us are against his idea.
539	네가 오늘 가나 내일 가나 마찬가지야.	It makes no difference whether you go today or tomorrow.
540	나는 가끔 한번씩 말 타는 걸 좋아합니다.	I like to ride a horse now and then.
541	나는 역으로 들어오는 기차를 봤다.	I saw the train come into the station.
542	그 케이크는 레몬 맛이 조금 난다.	There was some taste of lemon in the cake.
543	나는 여기 온 뒤로 한 번도 바다에 들어가고 싶다는 생각을 안 했지만 지금 이 순간에 어쩐 일인지 옷을 벗어 버리고 싶었어요.	"I had not once thought about going into the sea since I came here	 but at this moment	 for some reason	 I wanted to remove my clothes."
544	인간은 이성이 있지만 동물은 없다.	"Man has reason	 animals do not."
545	이 방은 적당히 크다.	This room is just about big enough.
546	너의 연구는 열매를 맺을 거야.	Your study will bear fruit.
547	그는 유엔 대사 였습니다.	He was ambassador to the United Nations.
548	나는 일찍 자기 때문에 일출을 보려 일찍 일어날 수 있다.	I go to bed early so I can get up to capture the sunrise.
549	그 회의는 정오에 끝났다.	The meeting ended at noon.
550	탐에게 돌아오자 마자 전화해 달라고 물어봐 주세요.	Ask Tom to call me as soon as he returns.
